RollLongRight,RollLongTrd,RollShortRight,RollShortTrd,rollret,theRet,ticker
999,1879,741,1681,2.14307426,0.014122,EEML
1004,1904,744,1688,2.10382155,-0.03925271,EFM
1005,1905,745,1690,2.19574173,0.09192018,EFOI
1008,1912,745,1692,2.31500515,0.11926342,EGI
1009,1914,749,1700,2.2247932,-0.09021195,EGN
1011,1916,752,1703,2.20537511,-0.01941809,EGO
1011,1916,753,1706,2.17543973,-0.02993538,EGRX
1012,1921,757,1711,2.39158817,0.21614844,EGY
1015,1927,757,1711,2.36827228,-0.02331589,EHI
1016,1928,758,1713,2.36993519,0.00166291,EIGR
1019,1935,758,1713,2.381689,0.01175381,EIM
1023,1940,760,1715,2.37298089,-0.00870811,EIV
1026,1949,761,1728,2.40768327,0.03470238,ELJ
1027,1952,764,1733,2.46458285,0.05689958,ELP
1031,1957,764,1733,2.47293697,0.00835412,ELRC
1040,1972,768,1741,2.56069915,0.08776218,ELS
1042,1976,768,1743,2.55462676,-0.00607239,ELU
1045,1980,768,1743,2.54154699,-0.01307977,EMD
1045,1982,769,1744,2.53559704,-0.00594995,EMES
1046,1985,770,1747,2.53559704,0.0,EMF
1048,1988,774,1751,2.58476606,0.04916902,EMG
1050,1991,775,1752,2.57771001,-0.00705605,EMI
1056,2001,775,1752,2.61624653,0.03853652,EMIF
1062,2008,777,1755,2.54256778,-0.07367875,EMN
1062,2010,778,1757,2.54256778,0.0,EMXX
1067,2020,780,1762,2.42213084,-0.12043694,ENB
1068,2022,781,1766,2.39910851,-0.02302233,ENIA
1069,2024,786,1772,2.41477188,0.01566337,ENT
1070,2028,786,1773,2.40462678,-0.0101451,ENX
1072,2035,788,1776,2.38909227,-0.01553451,ENZL
1072,2037,789,1778,2.44074663,0.05165436,EOCC
1074,2042,792,1783,2.43413492,-0.00661171,EOD
1077,2046,794,1788,2.4185377,-0.01559722,EOG
1082,2052,794,1788,2.40547003,-0.01306767,EOT
1085,2057,794,1788,2.4759808,0.07051077,EPAM
1089,2062,796,1791,2.28283466,-0.19314614,EPM
1093,2068,796,1793,2.2621675,-0.02066716,EPR
1094,2069,796,1793,2.27306675,0.01089925,EQBK
1099,2076,797,1804,2.22717664,-0.04589011,EQY
1099,2081,799,1809,2.21667784,-0.0104988,ERC
1099,2084,802,1816,2.15815165,-0.05852619,ERF
1100,2087,804,1819,2.12867756,-0.02947409,ERIC
1100,2087,804,1819,2.12867756,0.0,ERN
1103,2096,807,1824,2.19599779,0.06732023,ES
1104,2098,807,1825,2.19266084,-0.00333695,ESCA
1109,2106,810,1829,2.18515875,-0.00750209,ESD
1109,2106,811,1830,2.18915077,0.00399202,ESIO
1111,2110,811,1830,2.20847222,0.01932145,ESRT
1117,2123,812,1835,2.25410997,0.04563775,ESS
1118,2124,814,1839,2.33770531,0.08359534,ESV
1118,2129,814,1840,2.35066449,0.01295918,ETFC
1120,2134,814,1840,2.34433651,-0.00632798,ETO
1122,2137,814,1845,2.31309459,-0.03124192,ETR
1124,2141,816,1848,2.30136471,-0.01172988,ETX
1124,2141,817,1849,2.26338546,-0.03797925,EVAR
1128,2145,817,1849,2.25850348,-0.00488198,EVJ
1128,2145,819,1851,2.24703108,-0.0114724,EVK
1134,2155,821,1855,2.22261636,-0.02441472,EVM
1138,2161,822,1856,2.25418326,0.0315669,EVN
1144,2170,823,1857,2.23084769,-0.02333557,EVP
1148,2174,827,1864,2.21248826,-0.01835943,EWBC
1150,2178,829,1868,2.21248826,0.0,EWZS
1155,2186,832,1877,2.22412571,0.01163745,EXK
1163,2197,833,1879,2.25430636,0.03018065,EXPO
1172,2210,835,1881,2.22826299,-0.02604337,EXR
1174,2216,838,1885,2.31035456,0.08209157,EZPW
1176,2223,843,1891,2.27547597,-0.03487859,FAB
1179,2227,846,1896,2.29024901,0.01477304,FAF
1182,2233,847,1897,2.29222347,0.00197446,FAM
1186,2241,849,1899,2.33111724,0.03889377,FARO
1188,2244,850,1900,2.34432831,0.01321107,FAX
